Rank,City,Population,County
200,Perry Heights,8581,NaaC
201,North Madison,8573,NaaC
202,Wyoming,8562,NaaC
203,Orrville,8419,NaaC
204,Highland Heights,8373,NaaC
205,Grandview Heights,8333,NaaC
206,Bryan,8230,NaaC
207,Cheviot,8209,NaaC
208,Napoleon,8207,NaaC
209,Oberlin,8199,NaaC
210,Kenton,8180,NaaC
211,St. Marys,8160,NaaC
212,Eaton,8145,NaaC
213,Bellevue,7891,NaaC
214,Withamsville,7788,NaaC
215,Campbell,7785,NaaC
216,Dry Run,7754,NaaC
217,Fairlawn,7514,NaaC
218,Hubbard,7419,NaaC
219,Wauseon,7410,NaaC
220,Mentor-on-the-Lake,7390,NaaC
221,Bellbrook,7344,NaaC
222,Northridge,7343,NaaC
223,Kenwood,7244,NaaC
224,Landen,7214,NaaC
225,Canfield,7176,NaaC
226,Independence,7175,NaaC
227,Portage Lakes,7139,NaaC
228,Northgate,7099,NaaC
229,Logan,7020,NaaC
230,Delphos,6937,NaaC
231,Union,6891,NaaC
232,Huron,6869,NaaC
233,Milford,6855,NaaC
234,Kirtland,6812,NaaC
235,Cortland,6768,NaaC
236,Mount Healthy,6736,NaaC
237,Groesbeck,6656,NaaC
238,Rossford,6562,NaaC
239,Hillsboro,6554,NaaC
240,Martins Ferry,6517,NaaC
241,Rittman,6506,NaaC
242,Champion Heights,6495,NaaC
243,Moraine,6470,NaaC
244,Upper Sandusky,6440,NaaC
245,Howland Center,6400,NaaC
246,Belpre,6386,NaaC
247,Sunbury,6367,NaaC
248,Pepper Pike,6330,NaaC
249,Columbiana,6250,NaaC
250,Jackson,6230,NaaC
251,Covedale,6209,NaaC
252,Port Clinton,6176,NaaC
253,Clyde,6166,NaaC
254,Ontario,6084,NaaC
255,Willard,6016,NaaC
256,Wheelersburg,5996,NaaC
257,Fort Shawnee,5960,NaaC
258,Geneva,5937,NaaC
259,Granville,5916,NaaC
260,Brookville,5874,NaaC
261,The Village of Indian Hill,5786,NaaC
262,Grafton,5707,NaaC
263,Groveport,5621,NaaC
264,New Carlisle,5568,NaaC
265,Deer Park,5566,NaaC
266,Ada,5544,NaaC
267,Waterville,5539,NaaC
268,Germantown,5519,NaaC
269,Wellston,5507,NaaC
270,Carlisle,5446,NaaC
271,Northwood,5434,NaaC
272 TIE,Apple Valley and Canal Fulton,5408,NaaC
273,Mount Carmel,5372,NaaC
274,Turpin Hills,5351,NaaC
275,Uhrichsville,5314,NaaC
276,Delhi Hills,5308,NaaC
277,Obetz,5196,NaaC
278,Chardon,5159,NaaC
279,St. Clairsville,5141,NaaC
280,Nelsonville,5130,NaaC
281,Johnstown,5098,NaaC
282,Munroe Falls,5063,NaaC
283,Amelia,5039,NaaC
284,Montrose-Ghent,4928,NaaC
285,Toronto,4923,NaaC
286,Wellington,4912,NaaC
287,Miami Heights,4873,NaaC
288,Whitehouse,4845,NaaC
289,West Milton,4828,NaaC
290,New Burlington,4819,NaaC
291,Silverton,4727,NaaC
292,Summerside,4692,NaaC
293,Lexington,4682,NaaC
294,New Lexington,4671,NaaC
295,South Lebanon,4668,NaaC
296,Pleasant Run Farm,4653,NaaC
297,Plain City,4586,NaaC
298,Lake Darby,4577,NaaC
299,Coldwater,4562,NaaC
300,Greenfield,4556,NaaC
301,Cherry Grove,4521,NaaC
302,Reminderville,4517,NaaC
303,Huber Ridge,4511,NaaC
304,Ottawa Hills,4488,NaaC
305,Newton Falls,4471,NaaC
306,Pleasant Run,4460,NaaC
307,Mount Repose,4446,NaaC
308,West Jefferson,4431,NaaC
309,Crestline,4425,NaaC
310,East Palestine,4424,NaaC
311,Sheffield,4402,NaaC
312,Ashville,4385,NaaC
313,Ottawa,4357,NaaC
314,St. Bernard,4336,NaaC
315,Cedarville,4320,NaaC
316,Archbold,4319,NaaC
317,Blanchester,4262,NaaC
318,Edgewood,4251,NaaC
319,Georgetown,4243,NaaC
320,Waverly,4236,NaaC
321,Sebring,4186,NaaC
322 TIE,Bluffton and Park Layne,4082,NaaC
323,Bellaire,4013,NaaC
324,Barnesville,3998,NaaC
325,New Lebanon,3984,NaaC
326,Chagrin Falls,3941,NaaC
327,Fruit Hill,3931,NaaC
328,Montpelier,3924,NaaC
329,Swanton,3858,NaaC
330,South Point,3839,NaaC
331,Mogadore,3821,NaaC
332,Mulberry,3772,NaaC
333 TIE,South Russell and Yellow Springs,3744,NaaC
334,Newcomerstown,3737,NaaC
