Rank,Zip Code,Population
289,44907,"14,885"
290,45432,"14,818"
291,44132,"14,805"
292,44420,"14,796"
293,45631,"14,630"
294,43608,"14,570"
295,44062,"14,523"
296,43215,"14,440"
297,44425,"14,354"
298,44041,"14,321"
299,43064,"14,243"
300,45246,"14,206"
301,43506,"14,192"
302,43545,"14,182"
303,45403,"14,159"
304,44721,"14,149"
305,45202,"14,105"
306,45506,"13,868"
307,45002,"13,865"
308,43023,"13,864"
309,45220,"13,838"
310,44141,"13,830"
311,43326,"13,745"
312,44905,"13,719"
313,43452,"13,674"
314,43125,"13,551"
315,44904,"13,542"
316,45415,"13,519"
317,44875,"13,437"
318,44667,"13,410"
319,43031,"13,408"
320,44432,"13,279"
321,43567,"13,247"
322,43074,"13,229"
323,44260,"13,166"
324,45249,"13,156"
325,44119,"13,108"
326,45229,"13,090"
327,45680,"12,977"
328,45648,"12,886"
329,45885,"12,741"
330,43205,"12,725"
331,44811,"12,667"
332,43558,"12,662"
333,44614,"12,628"
334,44054,"12,613"
335,45213,"12,574"
336,43210,"12,530"
337,45309,"12,439"
338,45807,"12,407"
339,45106,"12,382"
340,43021,"12,327"
341,43146,"12,275"
342,44839,"12,264"
343,45434,"12,256"
344,44090,"11,996"
345,45223,"11,982"
346,44509,"11,911"
347,44718,"11,895"
348,44056,"11,808"
349,45015,"11,714"
350 TIE,45152 and 43953,"11,656"
351,45694,"11,618"
352,45875,"11,403"
353,45068,"11,402"
354,44074,"11,376"
355,44890,"11,245"
356,45305,"11,161"
357,45209,"11,082"
358,43103,"11,006"
359,44026,"10,989"
360,45206,"10,825"
361,45404,"10,809"
362,44471,"10,742"
363,45806,"10,608"
364,45833,"10,605"
365,45122,"10,511"
366,45157,"10,315"
367,44615,"10,312"
368,45439,"10,185"
369,43338,"10,164"
370,45402,"10,053"
371,44408,"10,043"
372,45669,"10,040"
373,43410,"10,030"
374,44662,"10,020"
375,43351,"10,013"
376,45107,"9,909"
377,44632,"9,831"
378,44481,"9,617"
379,44117,"9,611"
380,44657,"9,583"
381,44444,"9,563"
382,44710,"9,557"
383,44216,"9,540"
384,45176,"9,434"
385 TIE,45225 and 45764,"9,418"
386,45714,"9,388"
387,45327,"9,356"
388,44502,"9,336"
389,43724,"9,319"
390,44813,"9,312"
391,43019,"9,295"
392,45121,"9,245"
393,44047,"9,122"
394,44028,"9,000"
395,45154,"8,994"
396,45216,"8,925"
397,43604,"8,920"
398,43935,"8,870"
399,44707,"8,802"
400,44270,"8,800"
401,44231,"8,777"
402,45050,"8,773"
403,43764,"8,750"
404,45123,"8,736"
405,45692,"8,731"
406,44606,"8,718"
407,45693,"8,691"
408,43906,"8,643"
409,43964,"8,642"
410,43515,"8,582"
411,44683,"8,552"
412,44230,"8,549"
413,44311,"8,447"
414,44714,"8,442"
415,43076,"8,421"
416,43203,"8,368"
417,43028,"8,335"
418,44115,"8,284"
419,45810,"8,230"
420,44255,"8,223"
421,43449,"8,219"
422,44703,"8,081"
423,44681,"7,987"
424,44405,"7,969"
425,44233,"7,927"
426,43566,"7,926"
427,45214,"7,791"
428,43543,"7,785"
429,44303,"7,766"
430,43011,"7,722"
431,44287,"7,688"
432,43105,"7,626"
433,45619,"7,585"
434,43571,"7,526"
435,44413,"7,371"
436,43832,"7,349"
437,43619,"7,296"
438,45430,"7,289"
439,43315,"7,272"
440,43617,"7,268"
441,45660,"7,246"
442,45217,"7,232"
443,43162,"7,189"
444,44273,"7,172"
445,45207,"7,133"
446,44081,"7,104"
447,45304,"7,084"
448,44889,"7,071"
449,43713,"7,066"
450,45769,"7,058"
451,44827,"6,980"
452,45661,"6,956"
453,44201,"6,944"
454,45383,"6,912"
455,45817,"6,892"
456,45232,"6,849"
457,44627,"6,829"
458,44618,"6,787"
459,45335,"6,781"
460,44307,"6,751"
461,43502,"6,609"
462,44114,"6,567"
463,43460,"6,498"
464,45345,"6,458"
465,44050,"6,384"
466,45656,"6,364"
467 TIE,43334 and 43912,"6,317"
468,45828,"6,248"
469,44021,"6,244"
470,43968,"6,212"
471,45311,"6,197"
472,44286,"6,193"
473,45663,"6,162"
474,45416,"6,139"
475,45651,"6,019"
476,45314,"6,010"
477,43762,"5,997"
478,43344,"5,996"
479,43526,"5,890"
480,43316,"5,869"
481,43620,"5,863"
482,44730,"5,847"
483,45879,"5,805"
484,45830,"5,796"
485,43830,"5,775"
486,45204,"5,773"
487,45171,"5,771"
488,43143,"5,762"
489,43907,"5,760"
490,43072,"5,701"
491,45318,"5,638"
492,44612,"5,518"
493,43403,"5,501"
494,45387,"5,456"
495,45381,"5,430"
496,44507,"5,409"
497,44842,"5,392"
498,45380,"5,385"
499,43731,"5,379"
500,45226,"5,346"
501,43938,"5,320"
502,44624,"5,308"
503,43947,"5,297"
504,43465,"5,273"
505,43080,"5,254"
506,45710,"5,222"
507,45856,"5,211"
508,43723,"5,185"
509,44272,"5,176"
510,44302,"5,127"
511,43822,"5,115"
512,43025,"5,100"
513,45628,"5,082"
514,44262,"5,049"
515,44304,"5,028"
516,44076,"5,022"
517,45338,"5,009"
518,45323,"4,973"
519 TIE,44254 and 44440,"4,960"
520,44644,"4,949"
521,43112,"4,945"
522,45368,"4,907"
523,45865,"4,905"
524,43793,"4,901"
525,43431,"4,868"
526,43044,"4,866"
527,44902,"4,850"
528,43756,"4,834"
