ZipCode,Population,case_count_cumulative,case_count_last_30_days,case_count_last_14_days,case_count_per_100K_cumulative,case_count_per_100K_last_30_days,case_count_per_100K_last_14_days,population_density,num_universities,num_uni_students
43143,5762,179,82,40,3106.6,1423.1,694.2,41.9,0,0
43144,401,8,None,None,1995.0,None,None,56.6,0,0
43145,2189,61,28,13,2786.7,1279.1,593.9,30.1,0,0
43146,12275,2871,290,116,23389.0,2362.5,945,157.3,0,0
43147,41000,1706,667,324,4161.0,1626.8,790.2,1342.1,0,0
43148,2350,46,14,None,1957.4,595.7,None,101.2,0,0
43149,2414,60,42,23,2485.5,1739.9,952.8,54.2,0,0
43150,2158,83,51,29,3846.2,2363.3,1343.8,88.2,0,0
43151,316,21,8,None,6645.6,2531.6,None,780.7,0,0
43152,787,7,None,None,889.5,None,None,20.0,0,0
43153,742,26,10,5,3504.0,1347.7,673.9,17.4,0,0
43154,3770,79,36,15,2095.5,954.9,397.9,135.5,0,0
43155,2669,85,47,18,3184.7,1761.0,674.4,68.6,0,0
43156,201,6,None,None,2985.1,None,None,762.4,0,0
43157,648,14,7,6,2160.5,1080.2,925.9,1484.5,0,0
43158,345,5,None,None,1449.3,None,None,136.7,0,0
43160,21854,783,385,113,3582.9,1761.7,517.1,103.7,0,0
43162,7189,178,85,52,2476.0,1182.4,723.3,147.6,0,0
43163,None,None,None,None,None,None,None,None,0,0
43164,2233,47,27,11,2104.8,1209.1,492.6,41.6,0,0
43195,None,None,None,None,None,None,None,None,0,0
43196,None,None,None,None,None,None,None,None,0,0
43198,None,None,None,None,None,None,None,None,0,0
43199,None,None,None,None,None,None,None,None,0,0
43201,33455,3243,666,253,9693.6,1990.7,756.2,9531.7,0,0
43202,21141,670,258,104,3169.2,1220.4,491.9,8174.4,0,0
43203,8368,342,104,49,4087.0,1242.8,585.6,5305.8,0,0
43204,42463,1476,445,194,3476.0,1048.0,456.9,4256.3,0,0
43205,12725,474,191,79,3725.0,1501.0,620.8,5180.8,0,0
43206,22677,777,310,146,3426.4,1367.0,643.8,7375.9,0,0
43207,47265,1714,535,224,3626.4,1131.9,473.9,1973.9,0,0
43209,28516,851,326,181,2984.3,1143.2,634.7,4411.7,1,3494
43210,12530,1290,251,109,10295.3,2003.2,869.9,6688.9,1,58322
43211,23453,749,200,77,3193.6,852.8,328.3,4682.9,0,0
43212,21350,869,382,153,4070.3,1789.2,716.6,5067.2,0,0
43213,33551,1369,427,210,4080.4,1272.7,625.9,3516.9,0,0
43214,26229,815,310,129,3107.2,1181.9,491.8,3877.4,0,0
43215,14440,1048,441,193,7257.6,3054.0,1336.6,2260.1,3,31684
43216,None,None,None,None,None,None,None,None,0,0
43217,2440,60,15,7,2459.0,614.8,286.9,628.4,0,0
43218,None,None,None,None,None,None,None,None,0,0
43219,30526,1654,409,159,5418.3,1339.8,520.9,1669.1,1,2942
43220,26549,840,329,157,3164.0,1239.2,591.4,3726.1,0,0
43221,32913,965,420,197,2932.0,1276.1,598.5,3379.9,0,0
43222,4529,197,35,20,4349.7,772.8,441.6,2892.8,1,897
43223,25963,1285,255,107,4949.4,982.2,412.1,2260.2,0,0
