Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
44147,19361,553,299,150,2856.30,1544.30,774.8
44149,18976,587,253,131,3093.40,1333.30,690.3
44201,6944,119,59,34,1713.70,849.7,489.6
44202,20408,638,303,155,3126.20,1484.70,759.5
44203,40442,830,461,217,2052.30,1139.90,536.6
44212,44380,1502,790,361,3384.40,1780.10,813.4
44214,2267,48,27,11,2117.30,1191.00,485.2
44215,2323,57,29,16,2453.70,1248.40,688.8
44216,9540,236,129,58,2473.80,1352.20,608
44217,3997,95,48,16,2376.80,1200.90,400.3
44221,29154,738,367,206,2531.40,1258.80,706.6
44223,17722,590,294,134,3329.20,1659.00,756.1
44224,39564,1031,518,271,2605.90,1309.30,685
44230,8549,242,131,76,2830.70,1532.30,889
44231,8777,160,82,51,1822.90,934.3,581.1
44233,7927,206,107,53,2598.70,1349.80,668.6
44234,4177,65,32,14,1556.10,766.1,335.2
44235,1916,21,11,N/A,1096.00,574.1,N/A
44236,25518,626,296,136,2453.20,1160.00,533
44240,39536,1154,482,225,2918.90,1219.10,569.1
44241,16638,437,218,124,2626.50,1310.30,745.3
44243,4721,114,38,18,2414.70,804.9,381.3
44250,1110,23,12,7,2072.10,1081.10,630.6
44251,922,21,15,7,2277.70,1626.90,759.2
44253,3212,76,35,16,2366.10,1089.70,498.1
44254,4960,93,53,17,1875.00,1068.50,342.7
44255,8223,144,81,42,1751.20,985,510.8
44256,62916,1892,1018,500,3007.20,1618.00,794.7
44260,13166,270,158,88,2050.70,1200.10,668.4
44262,5049,124,76,29,2455.90,1505.20,574.4
44264,3073,139,24,10,4523.30,781,325.4
44266,33894,641,367,217,1891.20,1082.80,640.2
44270,8800,210,68,25,2386.40,772.7,284.1
44272,5176,140,91,45,2704.80,1758.10,869.4
44273,7172,130,70,36,1812.60,976,502
44274,246,6,N/A,N/A,2439.00,N/A,N/A
44275,3280,75,43,13,2286.60,1311.00,396.3
44276,1795,35,18,10,1949.90,1002.80,557.1
44278,17951,481,251,135,2679.50,1398.30,752
44280,4641,164,99,49,3533.70,2133.20,1055.80
44281,32161,765,411,210,2378.70,1277.90,653
44285,25,N/A,N/A,N/A,N/A,N/A,N/A
44286,6193,164,111,61,2648.20,1792.30,985
44287,7688,148,76,28,1925.10,988.6,364.2
44288,3521,58,33,20,1647.30,937.2,568
44301,15060,327,177,82,2171.30,1175.30,544.5
44302,5127,113,49,23,2204.00,955.7,448.6
44303,7766,234,144,60,3013.10,1854.20,772.6
44304,5028,135,56,18,2685.00,1113.80,358
44305,22425,438,218,105,1953.20,972.1,468.2
44306,21165,452,198,96,2135.60,935.5,453.6
44307,6751,167,62,34,2473.70,918.4,503.6
44308,943,33,14,N/A,3499.50,1484.60,N/A
44310,26659,1244,291,144,4666.30,1091.60,540.2
44311,8447,152,59,30,1799.50,698.5,355.2
44312,31064,756,418,230,2433.70,1345.60,740.4
44313,24580,725,357,178,2949.60,1452.40,724.2
44314,19113,321,167,79,1679.50,873.8,413.3
44319,22647,757,373,161,3342.60,1647.00,710.9
44320,19419,453,158,98,2332.80,813.6,504.7
44321,15346,509,249,104,3316.80,1622.60,677.7
44333,18778,544,277,133,2897.00,1475.10,708.3
44401,2903,54,22,10,1860.10,757.8,344.5
44402,3228,73,42,20,2261.50,1301.10,619.6
44403,3904,98,39,17,2510.20,999,435.5
44404,1446,28,21,9,1936.40,1452.30,622.4
44405,7969,294,175,94,3689.30,2196.00,1179.60
44406,21749,820,421,201,3770.30,1935.70,924.2
44408,10043,402,160,95,4002.80,1593.10,945.9
44410,16702,621,436,178,3718.10,2610.50,1065.70
44411,2328,50,29,12,2147.80,1245.70,515.5
44412,2630,48,27,7,1825.10,1026.60,266.2
44413,7371,151,90,50,2048.60,1221.00,678.3
44417,1736,36,17,8,2073.70,979.3,460.8
44418,1531,33,20,9,2155.50,1306.30,587.9
44420,14796,440,216,82,2973.80,1459.90,554.2
44423,2423,52,34,15,2146.10,1403.20,619.1
44425,14354,412,224,87,2870.30,1560.50,606.1
44427,1406,36,18,6,2560.50,1280.20,426.7
44428,3045,69,48,35,2266.00,1576.40,1149.40
44429,2544,36,26,11,1415.10,1022.00,432.4
44430,4777,185,44,20,3872.70,921.1,418.7
44431,4514,118,51,23,2614.10,1129.80,509.5
44432,13279,1203,140,78,9059.40,1054.30,587.4
44436,3695,111,59,33,3004.10,1596.80,893.1
44437,4406,134,56,30,3041.30,1271.00,680.9
44438,4300,165,52,15,3837.20,1209.30,348.8
44439,147,N/A,N/A,N/A,N/A,N/A,N/A
44440,4960,213,81,40,4294.40,1633.10,806.5
44441,1757,46,26,18,2618.10,1479.80,1024.50
44442,3938,162,68,30,4113.80,1726.80,761.8
44443,1672,45,20,10,2691.40,1196.20,598.1
44444,9563,189,112,58,1976.40,1171.20,606.5
44445,3604,87,46,28,2414.00,1276.40,776.9
44446,20150,650,366,151,3225.80,1816.40,749.4
44449,1264,31,16,9,2452.50,1265.80,712
44450,2041,40,26,12,1959.80,1273.90,587.9
44451,2817,102,53,19,3620.90,1881.40,674.5
44452,3444,195,100,73,5662.00,2903.60,2119.60
44454,982,34,18,13,3462.30,1833.00,1323.80
44455,1665,35,13,8,2102.10,780.8,480.5
44460,25258,916,369,146,3626.60,1460.90,578
44470,3953,69,47,31,1745.50,1189.00,784.2
44471,10742,324,200,108,3016.20,1861.90,1005.40
44473,3609,114,73,34,3158.80,2022.70,942.1
44481,9617,254,159,82,2641.20,1653.30,852.7
44483,24836,767,448,202,3088.30,1803.80,813.3
44484,21804,725,436,195,3325.10,1999.60,894.3
44485,16101,325,164,73,2018.50,1018.60,453.4
44490,970,24,13,5,2474.20,1340.20,515.5
44491,3517,78,30,17,2217.80,853,483.4
44493,29,N/A,N/A,N/A,N/A,N/A,N/A
44502,9336,294,159,87,3149.10,1703.10,931.9
44503,1130,49,28,16,4336.30,2477.90,1415.90
44504,4799,191,53,25,3980.00,1104.40,520.9
44505,17985,672,270,122,3736.40,1501.30,678.3
44506,2877,78,28,11,2711.20,973.2,382.3
44507,5409,110,58,32,2033.60,1072.30,591.6
44509,11911,337,112,49,2829.30,940.3,411.4
44510,2601,65,27,10,2499.00,1038.10,384.5
44511,19966,652,305,154,3265.60,1527.60,771.3
44512,32763,1261,527,260,3848.90,1608.50,793.6
44514,21659,902,510,281,4164.60,2354.70,1297.40
44515,26662,943,454,222,3536.90,1702.80,832.6
44601,34740,911,474,198,2622.30,1364.40,569.9
44606,8718,216,62,23,2477.60,711.2,263.8
44607,178,N/A,N/A,N/A,N/A,N/A,N/A
44608,2439,49,24,11,2009.00,984,451
44609,3935,125,56,20,3176.60,1423.10,508.3
44610,160,32,12,N/A,20000.00,7500.00,N/A
44611,2121,53,29,13,2498.80,1367.30,612.9
44612,5518,151,87,37,2736.50,1576.70,670.5
44613,2012,54,40,14,2683.90,1988.10,695.8
44614,12628,393,217,130,3112.10,1718.40,1029.50
44615,10312,241,98,51,2337.10,950.3,494.6
44618,6787,276,139,44,4066.60,2048.00,648.3
44620,2057,21,15,8,1020.90,729.2,388.9
44621,4476,193,128,51,4311.90,2859.70,1139.40
44622,17895,973,446,160,5437.30,2492.30,894.1
44624,5308,171,39,20,3221.60,734.7,376.8
44625,1918,32,16,7,1668.40,834.2,365
44626,3015,59,33,17,1956.90,1094.50,563.8
44627,6829,152,32,9,2225.80,468.6,131.8
44628,932,35,23,7,3755.40,2467.80,751.1
44629,2661,98,63,25,3682.80,2367.50,939.5
44632,9831,282,159,70,2868.50,1617.30,712
44633,2634,68,13,N/A,2581.60,493.5,N/A
44634,2246,47,29,16,2092.60,1291.20,712.4
44637,3281,91,38,15,2773.50,1158.20,457.2
44638,1453,36,12,8,2477.60,825.9,550.6
44640,235,N/A,N/A,N/A,N/A,N/A,N/A
44641,20239,531,282,127,2623.60,1393.30,627.5
44643,3585,66,27,14,1841.00,753.1,390.5
44644,4949,94,53,22,1899.40,1070.90,444.5
44645,2299,59,28,13,2566.30,1217.90,565.5
44646,46749,1353,731,348,2894.20,1563.70,744.4
44647,19172,404,242,112,2107.20,1262.30,584.2
44651,656,9,N/A,N/A,1372.00,N/A,N/A
44652,32,N/A,N/A,N/A,N/A,N/A,N/A
44653,673,19,16,7,2823.20,2377.40,1040.10
44654,21043,729,221,82,3464.30,1050.20,389.7
44656,2836,55,38,19,1939.40,1339.90,670
44657,9583,183,90,51,1909.60,939.2,532.2
44659,136,14,N/A,N/A,10294.10,N/A,N/A
44661,153,8,N/A,N/A,5228.80,N/A,N/A
44662,10020,296,190,76,2954.10,1896.20,758.5
44663,24914,918,502,188,3684.70,2014.90,754.6
44666,2667,68,49,23,2549.70,1837.30,862.4
44667,13410,384,166,67,2863.50,1237.90,499.6
44669,1347,21,13,7,1559.00,965.1,519.7
44670,172,N/A,N/A,N/A,N/A,N/A,N/A
44671,290,5,N/A,N/A,1724.10,N/A,N/A
44672,4748,214,51,29,4507.20,1074.10,610.8
44675,1825,31,19,11,1698.60,1041.10,602.7
44676,4402,116,56,25,2635.20,1272.10,567.9
44677,2463,80,37,9,3248.10,1502.20,365.4
44678,344,6,N/A,N/A,1744.20,N/A,N/A
44680,4455,143,78,21,3209.90,1750.80,471.4
44681,7987,381,109,23,4770.30,1364.70,288
44682,1030,39,26,12,3786.40,2524.30,1165.00
44683,8552,288,189,103,3367.60,2210.00,1204.40
44685,27842,824,456,235,2959.60,1637.80,844
44687,275,98,27,8,35636.40,9818.20,2909.10
44688,2816,55,22,10,1953.10,781.3,355.1
44689,786,16,6,N/A,2035.60,763.4,N/A
44690,213,7,N/A,N/A,3286.40,N/A,N/A
44691,45048,1522,547,235,3378.60,1214.30,521.7
44693,41,N/A,N/A,N/A,N/A,N/A,N/A
44695,1578,34,29,22,2154.60,1837.80,1394.20
44697,204,N/A,N/A,N/A,N/A,N/A,N/A
44699,811,18,15,5,2219.50,1849.60,616.5
44702,948,53,42,37,5590.70,4430.40,3903.00
44703,8081,182,63,30,2252.20,779.6,371.2
44704,3490,76,31,16,2177.70,888.3,458.5
44705,19451,387,153,73,1989.60,786.6,375.3
44706,17413,391,169,73,2245.40,970.5,419.2
44707,8802,172,67,34,1954.10,761.2,386.3
44708,25541,672,310,138,2631.10,1213.70,540.3
44709,19217,535,286,130,2784.00,1488.30,676.5
44710,9557,175,82,45,1831.10,858,470.9
44714,8442,226,106,55,2677.10,1255.60,651.5
44718,11895,440,209,98,3699.00,1757.00,823.9
44720,38080,1264,665,323,3319.30,1746.30,848.2
44721,14149,415,237,99,2933.10,1675.00,699.7
44730,5847,115,58,29,1966.80,992,496
44802,951,25,13,N/A,2628.80,1367.00,N/A
44804,940,28,12,7,2978.70,1276.60,744.7
44805,32833,795,443,188,2421.30,1349.30,572.6
44807,2120,42,21,12,1981.10,990.6,566
44809,321,N/A,N/A,N/A,N/A,N/A,N/A
44811,12667,431,256,101,3402.50,2021.00,797.3
44813,9312,236,122,69,2534.40,1310.10,741
44814,2876,71,43,17,2468.70,1495.10,591.1
44815,630,13,7,N/A,2063.50,1111.10,N/A
44816,16,N/A,N/A,N/A,N/A,N/A,N/A
44817,1506,49,19,5,3253.70,1261.60,332
44818,2394,59,28,12,2464.50,1169.60,501.3
44820,17522,554,279,124,3161.70,1592.30,707.7
44822,2749,73,37,16,2655.50,1345.90,582
44824,3944,122,83,38,3093.30,2104.50,963.5
44825,102,N/A,N/A,N/A,N/A,N/A,N/A
44826,1803,44,15,8,2440.40,831.9,443.7
44827,6980,225,115,35,3223.50,1647.60,501.4
44828,73,N/A,N/A,N/A,N/A,N/A,N/A
44830,18690,595,313,165,3183.50,1674.70,882.8
44833,16558,594,309,124,3587.40,1866.20,748.9
44836,2330,63,35,12,2703.90,1502.10,515
44837,4408,54,26,8,1225.00,589.8,181.5
44838,261,15,5,N/A,5747.10,1915.70,N/A
44839,12264,374,170,75,3049.60,1386.20,611.5
44840,2594,55,27,11,2120.30,1040.90,424.1
44841,619,27,16,N/A,4361.90,2584.80,N/A
44842,5392,141,48,27,2615.00,890.2,500.7
44843,2126,52,32,14,2445.90,1505.20,658.5
44844,492,28,16,7,5691.10,3252.00,1422.80
44846,3486,99,47,19,2839.90,1348.30,545
44847,3344,88,53,21,2631.60,1584.90,628
44849,2522,72,33,10,2854.90,1308.50,396.5
44850,43,N/A,N/A,N/A,N/A,N/A,N/A
44851,4679,76,45,24,1624.30,961.7,512.9
44853,1372,47,19,7,3425.70,1384.80,510.2
44854,1708,43,33,15,2517.60,1932.10,878.2
44855,1337,17,6,N/A,1271.50,448.8,N/A
44856,263,N/A,N/A,N/A,N/A,N/A,N/A
44857,23394,616,385,156,2633.20,1645.70,666.8
44859,2158,25,17,6,1158.50,787.8,278
44861,65,N/A,N/A,N/A,N/A,N/A,N/A
44864,3718,64,27,13,1721.40,726.2,349.7
44865,3208,92,45,25,2867.80,1402.70,779.3
44866,1994,26,17,7,1303.90,852.6,351.1
44867,2557,66,40,17,2581.10,1564.30,664.8
44870,39597,1486,592,256,3752.80,1495.10,646.5
44874,331,N/A,N/A,N/A,N/A,N/A,N/A
44875,13437,344,183,97,2560.10,1361.90,721.9
44878,3118,53,32,13,1699.80,1026.30,416.9
44880,2844,43,30,13,1512.00,1054.90,457.1
44882,2849,87,56,25,3053.70,1965.60,877.5
44883,28183,1154,661,200,4094.70,2345.40,709.6
44887,836,16,12,5,1913.90,1435.40,598.1
44889,7071,115,56,27,1626.40,792,381.8
44890,11245,439,141,80,3904.00,1253.90,711.4
44901,2627,45,N/A,N/A,1713.00,N/A,N/A
44902,4850,79,40,24,1628.90,824.7,494.8
44903,23604,806,442,216,3414.70,1872.60,915.1
44904,13542,493,256,98,3640.50,1890.40,723.7
44905,13719,433,161,86,3156.20,1173.60,626.9
44906,16849,464,291,143,2753.90,1727.10,848.7
44907,14885,447,236,122,3003.00,1585.50,819.6
45001,759,24,18,11,3162.10,2371.50,1449.30
45002,13865,640,316,128,4615.90,2279.10,923.2
45003,552,15,N/A,N/A,2717.40,N/A,N/A
45005,31371,1450,648,292,4622.10,2065.60,930.8
45011,71451,2595,1148,557,3631.90,1606.70,779.6
45013,53933,1958,899,425,3630.40,1666.90,788
45014,43848,2128,822,366,4853.10,1874.70,834.7
45015,11714,403,148,64,3440.30,1263.40,546.4
45030,19125,885,475,226,4627.50,2483.70,1181.70
45032,364,8,N/A,N/A,2197.80,N/A,N/A
45033,249,N/A,N/A,N/A,N/A,N/A,N/A
45034,1273,32,17,12,2513.70,1335.40,942.7
45036,38221,1558,573,255,4076.30,1499.20,667.2
45039,25142,917,434,191,3647.30,1726.20,759.7
45040,54507,1881,804,409,3450.90,1475.00,750.4
45041,87,N/A,N/A,N/A,N/A,N/A,N/A
45042,26638,1095,518,223,4110.70,1944.60,837.1
45044,54680,2063,832,349,3772.90,1521.60,638.3
45050,8773,408,193,87,4650.60,2199.90,991.7
45051,174,N/A,N/A,N/A,N/A,N/A,N/A
45052,3667,189,109,39,5154.10,2972.50,1063.50
45054,2926,64,34,15,2187.30,1162.00,512.6
45056,27957,2261,302,150,8087.40,1080.20,536.5
45062,686,29,15,8,4227.40,2186.60,1166.20
45064,3060,121,55,20,3954.20,1797.40,653.6
45065,4765,209,90,47,4386.10,1888.80,986.4
45066,24836,1130,513,231,4549.80,2065.60,930.1
45067,14970,517,196,92,3453.60,1309.30,614.6
45068,11402,407,174,85,3569.50,1526.00,745.5
45069,51117,1805,839,389,3531.10,1641.30,761
45070,185,10,8,5,5405.40,4324.30,2702.70
45101,2287,44,27,18,1923.90,1180.60,787.1
45102,22397,737,354,171,3290.60,1580.60,763.5
45103,32525,1012,526,251,3111.50,1617.20,771.7
45106,12382,268,130,61,2164.40,1049.90,492.7
45107,9909,312,138,69,3148.70,1392.70,696.3
45111,324,6,N/A,N/A,1851.90,N/A,N/A
45112,84,N/A,N/A,N/A,N/A,N/A,N/A
45113,3610,141,49,20,3905.80,1357.30,554
45115,143,N/A,N/A,N/A,N/A,N/A,N/A
45118,3579,109,53,32,3045.50,1480.90,894.1
45120,2750,71,56,19,2581.80,2036.40,690.9
45121,9245,270,155,76,2920.50,1676.60,822.1
45122,10511,324,163,77,3082.50,1550.80,732.6
45123,8736,196,81,35,2243.60,927.2,400.6
45130,4028,74,42,28,1837.10,1042.70,695.1
45131,227,N/A,N/A,N/A,N/A,N/A,N/A
45132,398,N/A,N/A,N/A,N/A,N/A,N/A
45133,23764,697,309,154,2933.00,1300.30,648
45135,4705,92,33,15,1955.40,701.4,318.8
45140,56933,1921,945,402,3374.10,1659.80,706.1
45142,3696,110,61,24,2976.20,1650.40,649.4
45144,4400,116,81,37,2636.40,1840.90,840.9
45145,19,N/A,N/A,N/A,N/A,N/A,N/A
45146,1458,31,8,N/A,2126.20,548.7,N/A
45147,191,8,N/A,N/A,4188.50,N/A,N/A
45148,1467,34,13,N/A,2317.70,886.2,N/A
45150,32618,1115,623,250,3418.40,1910.00,766.4
45152,11656,425,195,79,3646.20,1673.00,677.8
45153,1804,47,23,13,2605.30,1274.90,720.6
45154,8994,242,115,66,2690.70,1278.60,733.8
45155,371,5,N/A,N/A,1347.70,N/A,N/A
45156,73,N/A,N/A,N/A,N/A,N/A,N/A
45157,10315,225,114,57,2181.30,1105.20,552.6
45158,373,8,7,N/A,2144.80,1876.70,N/A
45159,3773,83,52,15,2199.80,1378.20,397.6
45160,865,16,10,N/A,1849.70,1156.10,N/A
45162,2666,88,48,21,3300.80,1800.50,787.7
45164,241,5,N/A,N/A,2074.70,N/A,N/A
45166,69,N/A,N/A,N/A,N/A,N/A,N/A
45167,3700,65,50,34,1756.80,1351.40,918.9
45168,1667,38,23,11,2279.50,1379.70,659.9
45169,4513,150,74,26,3323.70,1639.70,576.1
45171,5771,151,66,35,2616.50,1143.60,606.5
45172,191,N/A,N/A,N/A,N/A,N/A,N/A
45174,2350,54,15,7,2297.90,638.3,297.9
45176,9434,245,132,68,2597.00,1399.20,720.8
45177,22385,542,262,97,2421.30,1170.40,433.3
45202,14105,807,288,122,5721.40,2041.80,864.9
45203,2429,78,21,9,3211.20,864.6,370.5
45204,5773,146,49,16,2529.00,848.8,277.2
45205,18533,709,174,75,3825.60,938.9,404.7
45206,10825,355,143,64,3279.40,1321.00,591.2
45207,7133,291,97,43,4079.60,1359.90,602.8
45208,18503,596,232,98,3221.10,1253.90,529.6
45209,11082,484,198,73,4367.40,1786.70,658.7
45211,37201,1576,637,260,4236.40,1712.30,698.9
45212,22529,743,244,100,3298.00,1083.00,443.9
45213,12574,396,138,59,3149.40,1097.50,469.2
45214,7791,223,74,44,2862.30,949.8,564.8
45215,30814,1031,380,193,3345.90,1233.20,626.3
45216,8925,320,127,62,3585.40,1423.00,694.7
45217,7232,231,82,44,3194.10,1133.80,608.4
45218,3915,140,59,23,3576.00,1507.00,587.5
45219,18029,950,203,66,5269.30,1126.00,366.1
45220,13838,469,131,53,3389.20,946.7,383
45223,11982,371,107,41,3096.30,893,342.2
45224,21402,708,246,124,3308.10,1149.40,579.4
45225,9418,241,78,47,2558.90,828.2,499
45226,5346,188,91,40,3516.60,1702.20,748.2
45227,18391,647,265,136,3518.00,1440.90,739.5
45229,13090,413,132,63,3155.10,1008.40,481.3
45230,27778,802,353,156,2887.20,1270.80,561.6
45231,40071,1897,646,339,4734.10,1612.10,846
45232,6849,175,68,41,2555.10,992.8,598.6
45233,16025,834,395,145,5204.40,2464.90,904.8
45236,24486,735,354,161,3001.70,1445.70,657.5
45237,20193,742,241,120,3674.50,1193.50,594.3
45238,45614,2102,803,308,4608.20,1760.40,675.2
45239,29809,1285,490,222,4310.80,1643.80,744.7
45240,27161,1454,468,222,5353.30,1723.10,817.3
45241,24366,803,348,154,3295.60,1428.20,632
45242,22625,660,262,115,2917.10,1158.00,508.3
45243,15075,421,182,68,2792.70,1207.30,451.1
45244,28602,879,436,182,3073.20,1524.40,636.3
45245,20800,712,313,144,3423.10,1504.80,692.3
45246,14206,607,216,94,4272.80,1520.50,661.7
45247,22544,1145,527,233,5079.00,2337.70,1033.50
45248,25324,1092,550,204,4312.10,2171.90,805.6
45249,13156,381,193,84,2896.00,1467.00,638.5
45251,22502,985,325,139,4377.40,1444.30,617.7
45252,4336,184,79,28,4243.50,1822.00,645.8
45255,21767,634,277,128,2912.70,1272.60,588
45301,130,5,N/A,N/A,3846.20,N/A,N/A
45302,4172,184,71,30,4410.40,1701.80,719.1
45303,2724,110,50,22,4038.20,1835.50,807.6
45304,7084,301,165,97,4249.00,2329.20,1369.30
45305,11161,398,185,83,3566.00,1657.60,743.7
45306,2370,87,40,5,3670.90,1687.80,211
45307,330,8,N/A,N/A,2424.20,N/A,N/A
45308,4139,157,83,38,3793.20,2005.30,918.1
45309,12439,452,216,77,3633.70,1736.50,619
45310,270,23,6,N/A,8518.50,2222.20,N/A
45311,6197,243,135,69,3921.30,2178.50,1113.40
45312,1277,57,38,13,4463.60,2975.70,1018.00
45314,6010,253,130,48,4209.70,2163.10,798.7
45315,4066,254,105,57,6246.90,2582.40,1401.90
45316,108,N/A,N/A,N/A,N/A,N/A,N/A
45317,1226,27,11,N/A,2202.30,897.2,N/A
45318,5638,237,120,59,4203.60,2128.40,1046.50
45319,378,9,7,N/A,2381.00,1851.90,N/A
45320,14982,638,291,104,4258.40,1942.30,694.2
45321,851,36,20,5,4230.30,2350.20,587.5
45322,21282,912,431,198,4285.30,2025.20,930.4
45323,4973,183,105,32,3679.90,2111.40,643.5
45324,41029,1422,653,295,3465.80,1591.60,719
45325,2266,85,44,21,3751.10,1941.70,926.7
45326,1066,34,18,11,3189.50,1688.60,1031.90
45327,9356,422,179,69,4510.50,1913.20,737.5
45328,564,20,11,5,3546.10,1950.40,886.5
45330,846,59,28,9,6974.00,3309.70,1063.80
45331,22041,1124,539,283,5099.60,2445.40,1284.00
45332,825,23,14,5,2787.90,1697.00,606.1
45333,1368,59,29,9,4312.90,2119.90,657.9
45334,2117,70,40,18,3306.60,1889.50,850.3
45335,6781,208,104,41,3067.40,1533.70,604.6
45336,161,6,5,N/A,3726.70,3105.60,N/A
45337,1918,46,17,9,2398.30,886.3,469.2
45338,5009,163,87,33,3254.10,1736.90,658.8
45339,1385,42,22,7,3032.50,1588.40,505.4
45340,688,28,10,6,4069.80,1453.50,872.1
45341,3857,142,59,18,3681.60,1529.70,466.7
45342,36659,1622,713,319,4424.60,1945.00,870.2
45344,16104,599,304,96,3719.60,1887.70,596.1
45345,6458,187,101,37,2895.60,1564.00,572.9
45346,1938,83,51,19,4282.80,2631.60,980.4
45347,4479,174,95,38,3884.80,2121.00,848.4
45348,1026,64,22,10,6237.80,2144.20,974.7
45349,380,11,10,N/A,2894.70,2631.60,N/A
45350,106,11,N/A,N/A,10377.40,N/A,N/A
45351,212,12,N/A,N/A,5660.40,N/A,N/A
45352,242,7,N/A,N/A,2892.60,N/A,N/A
45353,142,5,N/A,N/A,3521.10,N/A,N/A
45354,456,12,N/A,N/A,2631.60,N/A,N/A
45356,25209,1097,527,216,4351.60,2090.50,856.8
45358,348,14,13,9,4023.00,3735.60,2586.20
45359,1938,82,51,26,4231.20,2631.60,1341.60
45360,453,9,N/A,N/A,1986.80,N/A,N/A
45361,328,5,N/A,N/A,1524.40,N/A,N/A
45362,1141,41,10,7,3593.30,876.4,613.5
45363,1698,111,37,14,6537.10,2179.00,824.5
45365,30232,1175,552,219,3886.60,1825.90,724.4
45368,4907,144,63,17,2934.60,1283.90,346.4
45369,3492,135,59,27,3866.00,1689.60,773.2
45370,2479,71,35,16,2864.10,1411.90,645.4
45371,19867,1118,501,219,5627.40,2521.80,1102.30
45372,319,6,N/A,N/A,1880.90,N/A,N/A
45373,35989,1682,812,391,4673.70,2256.20,1086.40
45377,15280,633,353,191,4142.70,2310.20,1250.00
45378,362,19,13,6,5248.60,3591.20,1657.50
45380,5385,332,87,29,6165.30,1615.60,538.5
45381,5430,195,94,26,3591.20,1731.10,478.8
45382,1287,43,20,13,3341.10,1554.00,1010.10
45383,6912,230,127,65,3327.50,1837.40,940.4
45384,2053,55,22,9,2679.00,1071.60,438.4
45385,38635,1423,735,320,3683.20,1902.40,828.3
45387,5456,99,46,21,1814.50,843.1,384.9
45388,853,35,8,N/A,4103.20,937.9,N/A
45389,478,15,6,N/A,3138.10,1255.20,N/A
45390,3288,175,96,56,5322.40,2919.70,1703.20
45402,10053,420,147,64,4177.90,1462.30,636.6
45403,14159,477,194,76,3368.90,1370.20,536.8
45404,10809,406,137,70,3756.10,1267.50,647.6
45405,16845,654,253,78,3882.50,1501.90,463
45406,19432,837,298,148,4307.30,1533.60,761.6
45409,15593,766,171,69,4912.50,1096.60,442.5
45410,16079,443,193,78,2755.10,1200.30,485.1
45414,20403,765,315,130,3749.40,1543.90,637.2
45415,13519,582,235,98,4305.10,1738.30,724.9
45416,6139,329,167,115,5359.20,2720.30,1873.30
45417,29332,1078,403,187,3675.20,1373.90,637.5
45418,1871,N/A,N/A,N/A,N/A,N/A,N/A
45419,15097,452,221,82,2994.00,1463.90,543.2
45420,25145,753,372,180,2994.60,1479.40,715.8
45424,50804,1944,921,401,3826.50,1812.80,789.3
45426,15730,767,231,130,4876.00,1468.50,826.4
45428,335,N/A,N/A,N/A,N/A,N/A,N/A
45429,25740,850,474,191,3302.30,1841.50,742
45430,7289,250,124,62,3429.80,1701.20,850.6
45431,28084,767,366,155,2731.10,1303.20,551.9
45432,14818,473,255,133,3192.10,1720.90,897.6
45433,2734,52,9,N/A,1902.00,329.2,N/A
45434,12256,403,198,95,3288.20,1615.50,775.1
45439,10185,413,175,71,4055.00,1718.20,697.1
45440,20633,846,446,191,4100.20,2161.60,925.7
45449,17914,896,448,178,5001.70,2500.80,993.6
45458,32068,1394,562,266,4347.00,1752.50,829.5
45459,26979,1063,486,198,3940.10,1801.40,733.9
45502,15779,653,319,117,4138.40,2021.70,741.5
45503,32363,1519,671,317,4693.60,2073.40,979.5
45504,17639,754,314,126,4274.60,1780.10,714.3
45505,19919,749,296,118,3760.20,1486.00,592.4
45506,13868,514,185,70,3706.40,1334.00,504.8
45601,56753,2012,611,263,3545.20,1076.60,463.4
45612,4793,116,48,13,2420.20,1001.50,271.2
45613,2734,122,53,19,4462.30,1938.60,695
45614,4825,143,64,35,2963.70,1326.40,725.4
45616,1461,29,22,8,1984.90,1505.80,547.6
45617,279,N/A,N/A,N/A,N/A,N/A,N/A
45618,13,N/A,N/A,N/A,N/A,N/A,N/A
45619,7585,213,99,42,2808.20,1305.20,553.7
45620,955,14,8,5,1466.00,837.7,523.6
45621,309,7,N/A,N/A,2265.40,N/A,N/A
45622,138,5,N/A,N/A,3623.20,N/A,N/A
45623,3075,96,54,10,3122.00,1756.10,325.2
45628,5082,164,55,15,3227.10,1082.30,295.2
45629,2855,94,33,11,3292.50,1155.90,385.3
45630,80,N/A,N/A,N/A,N/A,N/A,N/A
45631,14630,415,284,132,2836.60,1941.20,902.3
45634,1926,44,18,9,2284.50,934.6,467.3
45636,120,N/A,N/A,N/A,N/A,N/A,N/A
45638,21715,866,359,150,3988.00,1653.20,690.8
45640,16079,534,233,115,3321.10,1449.10,715.2
45644,4679,123,60,19,2628.80,1282.30,406.1
45645,2357,107,48,18,4539.70,2036.50,763.7
45646,499,N/A,N/A,N/A,N/A,N/A,N/A
45647,2579,56,24,9,2171.40,930.6,349
45648,12886,355,149,68,2754.90,1156.30,527.7
45650,460,12,10,N/A,2608.70,2173.90,N/A
45651,6019,106,47,17,1761.10,780.9,282.4
45652,4120,97,61,15,2354.40,1480.60,364.1
45653,3782,135,76,28,3569.50,2009.50,740.3
45654,1177,18,8,N/A,1529.30,679.7,N/A
